# M=6, N=6, updated=2026-06-17 14:52
# M: 置信度阈值（参与轮数中位数）
# N: 共同窗口轮数（>=50%个股参与的最近连续周期数）
ts_code,median_z,max_z,positive_z_rate,median_return,max_return,cycle_count,beat_index_rate,name,confidence
601696.SH,0.8726484637384188,3.3522228896262503,0.6666666666666666,0.7432432432432434,0.9197465681098203,3,0.6666666666666666,中银证券,参考
601162.SH,0.7728411260015982,2.468229973616401,0.75,0.6831855166960741,1.229965156794425,4,0.75,天风证券,参考
300059.SZ,0.576961159194833,5.017314662392414,0.7777777777777778,0.7372947615324472,6.897460018814675,9,0.7777777777777778,东方财富,可信
002945.SZ,0.43784991344990576,4.306380032490206,0.5,0.5974860676406039,2.3973128598848366,4,0.5,华林证券,参考
002797.SZ,0.26704563133848447,1.5687496054327865,0.5,0.601798784449032,1.0018903591682418,4,0.5,第一创业,参考
601066.SH,0.2667095107788734,3.524576721929748,0.75,0.6310976207095013,2.076011846001974,4,0.5,中信建投,参考
601881.SH,0.10454039964454115,0.7798975022077232,0.5,0.6137227138210233,0.8699080157687253,4,0.5,中国银河,参考
601688.SH,0.07226134085865682,0.9062614578213132,0.5555555555555556,0.5000000000000002,3.224543080939948,9,0.6666666666666666,华泰证券,可信
601555.SH,0.027482454257509528,0.7346631030939973,0.5,0.5583152540911768,2.8611111111111116,8,0.75,东吴证券,可信
000712.SZ,-0.015016415415339924,2.0004322478130936,0.5,0.4978584914606917,2.752695902228613,8,0.5,锦龙股份,可信
000686.SZ,-0.04354523125642625,0.376529767414639,0.4444444444444444,0.5997130559540891,2.7380952380952386,9,0.5555555555555556,东北证券,可信
601059.SH,-0.06678520333981147,0.18740122801482773,0.5,0.459338496698832,0.5227272727272729,2,0.5,信达证券,参考
601788.SH,-0.07643929128164104,4.848856198701155,0.3333333333333333,0.4958932238193019,3.6724565756823813,9,0.5555555555555556,光大证券,可信
000783.SZ,-0.08372154893521595,0.7643510579468453,0.3333333333333333,0.4914383561643838,3.1491228070175445,9,0.4444444444444444,长江证券,可信
601108.SH,-0.09348566688945883,0.5125259410018231,0.5,0.5639509454020805,0.759305210918114,4,0.5,财通证券,参考
600030.SH,-0.09835030117758428,0.9366171925520008,0.3333333333333333,0.47755960729312763,2.23524379811805,9,0.5555555555555556,中信证券,可信
600061.SH,-0.12018317409243101,1.0120239174229333,0.2222222222222222,0.458984375,3.396892655367232,9,0.4444444444444444,国投资本,可信
600109.SH,-0.1262292449081187,0.32638079932369807,0.3333333333333333,0.470257234726688,0.6591880341880343,9,0.4444444444444444,国金证券,可信
002736.SZ,-0.1491220790680049,1.816618294159726,0.5,0.5704512090407998,2.75,6,0.6666666666666666,国信证券,可信
002500.SZ,-0.19950148406504004,0.15153719845010083,0.25,0.48451753883736015,2.587423312883436,8,0.625,山西证券,可信
600958.SH,-0.27073503592617265,0.5018359653157579,0.3333333333333333,0.4929646942911683,1.344875346260388,6,0.5,东方证券,可信
